Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Latitude,Longitude
Svay Don Keo,ID 581102 <br> NAME Svay Don Keo <br> PROVINCE Pursat <br> BASIN Stung Svay Donkeo (Dauntri) <br> BDP_SA SA 9C <br> MOWRAM_REG Region 3 <br> BASINGROUP Basin Group 4 <br> AVAIL_FROM 01-Jun-95 <br> TO 31-Dec-10 <br> X_COORD 352788 <br> Y_COORD 1401028 <br> ZERO_GH_M - <br> CAT_A_KM2 805,,,,,"-1","0","-1",,,103.644,12.670
Baribor,ID 590101 <br> NAME Baribor <br> PROVINCE Kampong Chhnang <br> BASIN Stung Baribor <br> BDP_SA SA 9C <br> MOWRAM_REG Region 3 <br> BASINGROUP Basin Group 4 <br> AVAIL_FROM 01-Jun-98 <br> TO 31-Dec-17 <br> X_COORD 443901 <br> Y_COORD 1369024 <br> ZERO_GH_M - <br> CAT_A_KM2 869,,,,,"-1","0","-1",,,104.484,12.384
Kampong Chen,"ID 600101 <br> NAME Kampong Chen <br> PROVINCE Kampong Thom <br> BASIN Stung Staung <br> BDP_SA SA 9C <br> MOWRAM_REG Region 3 <br> BASINGROUP Basin Group 4 <br> AVAIL_FROM 01-Jan-97 <br> TO 31-Dec-17 <br> X_COORD 454714 <br> Y_COORD 1430260 <br> ZERO_GH_M 6.01 <br> CAT_A_KM2 1,895",,,,,"-1","0","-1",,,104.582,12.937
Kampong Thom,"ID 610101 <br> NAME Kampong Thom <br> PROVINCE Kampong Thom <br> BASIN Stung Sen <br> BDP_SA SA 9C <br> MOWRAM_REG Region 3 <br> BASINGROUP Basin Group 4 <br> AVAIL_FROM 01-Jun-81 <br> TO 31-Dec-17 <br> X_COORD 487419 <br> Y_COORD 1406003 <br> ZERO_GH_M -2.99 <br> CAT_A_KM2 14,000",,,,,"-1","0","-1",,,104.884,12.718
Sandan,ID 610104 <br> NAME Sandan <br> PROVINCE Kampong Thom <br> BASIN Stung Sen <br> BDP_SA SA 9C <br> MOWRAM_REG Region 2 <br> BASINGROUP Basin Group 4 <br> AVAIL_FROM 01-Jan-01 <br> TO 31-Dec-17 <br> X_COORD 526823 <br> Y_COORD 1448419 <br> ZERO_GH_M <br> CAT_A_KM2,,,,,"-1","0","-1",,,105.247,13.102
Kampong Thmar,"ID 620101 <br> NAME Kampong Thmar <br> PROVINCE Kampong Thom <br> BASIN Stung Chinit <br> BDP_SA SA 9C <br> MOWRAM_REG Region 3 <br> BASINGROUP Basin Group 4 <br> AVAIL_FROM 01-Jan-97 <br> TO 31-Dec-17 <br> X_COORD 514223 <br> Y_COORD 1381958 <br> ZERO_GH_M 6.16 <br> CAT_A_KM2 4,130",,,,,"-1","0","-1",,,105.131,12.501
Taing Krasaing,ID 620201 <br> NAME Taing Krasaing <br> PROVINCE Kampong Thom <br> BASIN Stung Taing Krasaing (Chinit) <br> BDP_SA SA 9C <br> MOWRAM_REG Region 3 <br> BASINGROUP Basin Group 4 <br> AVAIL_FROM 01-Jan-97 <br> TO 31-Dec-17 <br> X_COORD 506602 <br> Y_COORD 1389354 <br> ZERO_GH_M - <br> CAT_A_KM2 -,,,,,"-1","0","-1",,,105.061,12.568
Thnous Luong,"ID 640102 <br> NAME Thnous Luong <br> PROVINCE Kampong Speu <br> BASIN Stung Prek Thnot <br> BDP_SA SA 10C <br> MOWRAM_REG Region 2 <br> BASINGROUP Basin Group 5 <br> AVAIL_FROM 01-Jan-97 <br> TO 31-Dec-17 <br> X_COORD 446550 <br> Y_COORD 1266483 <br> ZERO_GH_M - <br> CAT_A_KM2 4,022",,,,,"-1","0","-1",,,104.510,11.456
Peam Khley-Dam Site,ID 640103 <br> NAME Peam Khley-Dam Site <br> PROVINCE Kampong Speu <br> BASIN Stung Prek Thnot <br> BDP_SA SA 10C <br> MOWRAM_REG Region 2 <br> BASINGROUP Basin Group 5 <br> AVAIL_FROM 01-Sep-96 <br> TO 31-Dec-17 <br> X_COORD 430666 <br> Y_COORD 1266738 <br> ZERO_GH_M 39.31 <br> CAT_A_KM2 -,,,,,"-1","0","-1",,,104.364,11.458
Kampong Trabaek,ID 660101 <br> NAME Kampong Trabaek <br> PROVINCE Prey Veng <br> BASIN Kampong Trabaek <br> BDP_SA SA 10C <br> MOWRAM_REG Region 7 <br> BASINGROUP Basin Group 5 <br> AVAIL_FROM 01-Jan-01 <br> TO 31-Dec-10 <br> X_COORD 538531 <br> Y_COORD 1239886 <br> ZERO_GH_M - <br> CAT_A_KM2 -,,,,,"-1","0","-1",,,105.353,11.216
